temperature,ABC123,1,0,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,1be97314-175c-4f0f-b941-fcc6b45f5c22
temperature,ABC123,1.2,1.2,Farenheit,Celsius,GradeTypes.CORRECT,2023-10-01 04:00 PM,48cc82a6-f2c9-4a86-92a1-c1e325031ec9
temperature,ABC123,1.2,1.1,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,3bd43b30-2022-4ced-a63e-da6d2d8aa3a4
temperature,ABC123,1.256,1.278,Farenheit,Celsius,GradeTypes.CORRECT,2023-10-01 04:00 PM,a52ca7e8-5db0-48a1-8fe8-3941dc91abff
temperature,ABC123,1.256,1.1222,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,be813f57-693d-4620-bf62-93a3bcdb6b32
temperature,ABC123,-1.2,-1.2,Farenheit,Celsius,GradeTypes.CORRECT,2023-10-01 04:00 PM,9e0b855f-ba3c-4e12-adf0-7a3f3f61edd8
temperature,ABC123,-1.2,-1.1,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,d6138496-3ac8-4772-951b-b9bf1aaac704
temperature,ABC123,-1.256,-1.278,Farenheit,Celsius,GradeTypes.CORRECT,2023-10-01 04:00 PM,7ef0ba38-7245-4baf-afb8-bae64fce1972
temperature,ABC123,-1.256,-1.1222,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,32e81602-b3a9-4f2e-9453-1395081c5506
temperature,ABC123,1.2,1.2,Farenheit,dog,GradeTypes.INVALID,2023-10-01 04:00 PM,08f36743-c8bc-4e88-b4bf-23288b317cd6
temperature,ABC123,1.2,1.2,dog,Celsius,GradeTypes.INVALID,2023-10-01 04:00 PM,734576df-0e05-4e40-a63b-fa9eb1b7e46f
temperature,ABC123,1,0,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,bcc09f20-2732-43ea-ba22-a20fc04a1669
temperature,ABC123,1.2,1.2,Farenheit,Celsius,GradeTypes.CORRECT,2023-10-01 04:00 PM,3bbab17f-ae9a-4a48-a139-a177f7c13dee
temperature,ABC123,1.2,1.1,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,e77bc6f0-9e2b-4f6d-8f84-545552041075
temperature,ABC123,1.256,1.278,Farenheit,Celsius,GradeTypes.CORRECT,2023-10-01 04:00 PM,b307c6b9-2ff4-4350-9f68-07c81ea1ba04
temperature,ABC123,1.256,1.1222,Farenheit,Celsius,GradeTypes.INCORRECT,2023-10-01 04:00 PM,37a50e93-16fd-4cf3-a26d-7f2f2df3cef2
temperature,ABC123,-1.2,-1.2,Farenheit,Celsius,GradeTypes.CORRECT,2023-10-01 04:00 PM,64209454-835a-49b8-8c2c-3626b98cf118
